Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI
2021-05-14,2.90%,2.30%,3.45%,5.29%,4.58%,-1.26%,-0.99%,-71.86%,1.43%,0.93%
2021-05-13,8.02%,-14.20%,-14.75%,-14.94%,-3.15%,-9.83%,-2.16%,357.16%,-4.57%,-21.01%
2021-05-12,5.58%,1.27%,5.31%,8.93%,6.98%,5.56%,10.14%,13.24%,5.21%,33.30%
2021-05-11,-5.86%,-3.87%,-13.43%,1.70%,-9.99%,0.52%,-10.61%,-8.61%,-7.23%,16.37%
2021-05-10,-1.45%,-0.95%,9.97%,-1.57%,-3.52%,0.61%,-5.01%,-3.45%,-2.48%,-1.42%
2021-05-09,4.75%,2.57%,-0.95%,9.53%,-2.32%,12.20%,2.99%,-1.73%,1.98%,1.53%
2021-05-08,-1.65%,1.68%,4.29%,-3.47%,12.77%,-0.20%,-4.20%,1.80%,-1.61%,1.96%
2021-05-07,-4.60%,-1.85%,-4.67%,-5.94%,4.77%,-0.97%,14.88%,4.28%,-5.20%,-4.05%
2021-05-06,3.04%,7.83%,8.57%,6.32%,9.15%,8.51%,11.18%,7.14%,-3.93%,8.51%
2021-05-05,-10.95%,-6.79%,8.34%,-10.90%,-12.70%,-5.27%,-10.14%,-12.44%,8.21%,-2.71%
2021-05-04,7.26%,1.06%,6.51%,3.21%,-0.81%,16.28%,3.23%,8.75%,-3.88%,6.51%
2021-05-03,-4.51%,-2.14%,-4.32%,0.21%,-3.70%,0.13%,-6.17%,-4.54%,5.58%,-2.58%
2021-05-02,13.69%,0.12%,8.18%,8.32%,1.94%,6.25%,3.46%,-0.42%,-0.78%,1.76%
2021-05-01,1.35%,7.79%,4.61%,15.40%,10.38%,0.52%,2.31%,3.05%,-1.01%,4.53%
2021-04-30,-4.88%,-2.36%,0.55%,-0.65%,-0.76%,0.30%,-1.80%,5.01%,-4.24%,-2.67%
2021-04-29,4.55%,-0.50%,-2.41%,-1.71%,-2.67%,3.07%,0.12%,-1.74%,8.08%,-1.26%
2021-04-28,8.81%,2.09%,5.81%,2.16%,12.50%,5.16%,17.67%,6.32%,3.90%,7.45%
2021-04-27,16.13%,9.94%,10.87%,16.42%,16.65%,9.16%,10.60%,14.13%,11.04%,13.62%
2021-04-26,9.82%,-1.93%,1.17%,-2.58%,0.47%,4.98%,2.48%,2.38%,13.73%,1.70%
2021-04-25,-7.67%,-2.26%,-11.23%,-8.87%,-10.39%,-6.58%,-9.59%,-7.58%,-8.27%,-9.58%
2021-04-24,-4.53%,-0.88%,0.25%,18.39%,-4.27%,-1.26%,-3.96%,-2.40%,-2.92%,-4.37%
2021-04-23,2.89%,-4.31%,-3.21%,6.99%,-4.64%,1.52%,-1.19%,-3.79%,1.18%,-0.27%
2021-04-22,-2.84%,-4.45%,-6.83%,0.42%,-4.21%,1.34%,-1.99%,-5.58%,4.88%,-7.02%
2021-04-21,4.51%,1.50%,8.84%,2.55%,7.09%,7.75%,4.34%,4.78%,1.80%,4.35%
2021-04-20,-9.62%,-1.12%,-8.93%,-2.25%,-13.04%,-3.34%,-13.11%,-11.13%,-0.84%,-12.31%
2021-04-19,-10.48%,-6.21%,-1.55%,-8.82%,-14.36%,-3.44%,-11.61%,-10.80%,-8.90%,9.59%
2021-04-18,-3.55%,-2.20%,-4.89%,-4.90%,-3.40%,-4.39%,-2.62%,-3.17%,-3.92%,-8.72%
