Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,
2021-05-30,0.51%,65.69%,2.65%,0.40%,0.25%,27.32%,0.24%,0.26%,2.53%,0.15%,100.00%
2021-05-29,0.49%,66.21%,2.59%,0.36%,0.26%,27.09%,0.23%,0.25%,2.36%,0.15%,100.00%
2021-05-28,0.50%,65.44%,2.74%,0.37%,0.23%,27.53%,0.23%,0.26%,2.54%,0.15%,100.00%
2021-05-27,0.53%,64.39%,2.82%,0.38%,0.24%,28.43%,0.24%,0.27%,2.54%,0.15%,100.00%
2021-05-26,0.57%,63.74%,2.91%,0.40%,0.25%,28.92%,0.26%,0.28%,2.52%,0.16%,100.00%
2021-05-25,0.54%,65.00%,2.49%,0.38%,0.22%,28.39%,0.24%,0.28%,2.29%,0.16%,100.00%
2021-05-24,0.56%,65.82%,2.37%,0.38%,0.22%,27.73%,0.24%,0.28%,2.24%,0.16%,100.00%
2021-05-23,0.50%,68.66%,2.12%,0.36%,0.21%,25.76%,0.21%,0.28%,1.78%,0.13%,100.00%
2021-05-22,0.52%,67.94%,2.27%,0.38%,0.24%,25.96%,0.24%,0.33%,1.99%,0.14%,100.00%
2021-05-21,0.57%,66.65%,2.43%,0.43%,0.26%,26.82%,0.26%,0.35%,2.08%,0.15%,100.00%
2021-05-20,0.64%,65.38%,2.61%,0.47%,0.28%,27.58%,0.29%,0.32%,2.27%,0.16%,100.00%
2021-05-19,0.64%,65.59%,2.60%,0.46%,0.29%,27.38%,0.28%,0.32%,2.28%,0.16%,100.00%
2021-05-18,0.77%,61.46%,3.25%,0.51%,0.40%,29.97%,0.36%,0.40%,2.68%,0.20%,100.00%
2021-05-17,0.71%,62.81%,2.85%,0.54%,0.36%,29.34%,0.28%,0.35%,2.57%,0.18%,100.00%
2021-05-16,0.60%,62.33%,2.93%,0.49%,0.35%,29.91%,0.26%,0.31%,2.63%,0.17%,100.00%
2021-05-15,0.59%,62.22%,2.94%,0.49%,0.34%,30.08%,0.25%,0.31%,2.60%,0.17%,100.00%
