Date,AAVE,BTC,LINK,COMP,CURVE,ETH,SUSHI,SYNTH,UNI,YFI,DAI
2021-07-14,271.1820632,32735.40261,16.86615702,387.3393166,1.601332404,1938.490754,7.136422281,10.98507654,18.45686157,32329.73152,1.005202806
2021-07-13,296.815378,33145.0867,17.53198856,412.7521574,1.679518761,2034.678767,7.636883931,12.10163703,19.53664955,32877.99646,1.000555393
2021-07-12,304.635126,34228.39081,18.35619939,435.2559278,1.760382719,2138.898595,8.145641208,12.41333099,20.69396571,33795.44166,0.99960708
2021-07-11,294.8296634,33517.71436,18.21181401,423.1120629,1.700756517,2111.107929,7.995632221,11.04690205,20.25710814,33166.31537,1.001223616
2021-07-10,303.3424994,33794.91772,18.64040872,434.3374709,1.767317609,2143.280707,8.409846207,11.48050745,20.97760373,33487.97569,0.9994937761
2021-07-09,292.2767673,32877.28756,18.31552863,415.0131729,1.730067028,2117.406584,7.919168112,9.594932543,20.23407197,33067.66366,1.001674377
2021-07-08,314.8089526,34049.45343,19.79013875,440.2896002,1.940752842,2315.932529,8.78303701,10.75013817,22.26670155,35425.97178,1.000665058
2021-07-07,316.8186037,34227.29439,20.0803331,482.0603761,1.965993418,2323.480404,8.97521623,11.22722911,22.40524232,35919.10524,0.9995841719
2021-07-06,307.5354668,33685.21261,18.35132907,492.5822701,1.79814733,2195.219313,8.072728539,10.60956894,20.05028196,32414.92408,1.000814179
2021-07-05,276.6268381,35282.94934,19.23709703,444.1257246,1.83115888,2322.993716,7.920931336,8.58659408,20.75066318,33350.46608,1.000925521
2021-07-04,259.4926778,34667.73382,18.53250591,380.0388676,1.757734066,2225.793419,7.602273526,7.278493611,19.46434622,32636.24751,1.000884276
2021-07-03,234.344466,33806.74007,18.30958361,368.501756,1.659735614,2156.365884,7.442329242,6.912771213,18.23021809,32086.60421,1.000905451
2021-07-02,231.1003553,33557.67257,18.24020012,332.9421786,1.701792434,2111.497085,7.419535936,6.848440168,17.84198105,32003.69367,1.000983293
2021-07-01,250.6434297,35026.72197,19.49115739,338.4091261,1.815324522,2273.853463,8.141800099,7.331989661,19.27344154,33863.93704,1.000828682
2021-06-30,236.9002711,35865.49752,19.46669614,309.6652942,1.785611461,2160.496495,7.909430048,7.174815563,18.63090102,33596.50842,1.00061403
2021-06-29,227.6813178,34468.11705,18.80349948,312.4424329,1.609366146,2082.79583,7.605096508,7.005644269,17.73040966,31445.82317,1.000739303
2021-06-28,203.237584,34716.04762,18.41997921,257.3841534,1.5891,1984.779737,7.139896681,6.419640618,17.0933,30270.28481,1.00191845
2021-06-27,186.9892197,32177.70395,16.93013148,225.2831388,1.486026657,1829.900864,6.823855917,5.950782813,16.10632236,28714.17714,1.001310122
